0,1,2,3,4,5,6
,7.85,38.49,61.51,24.16,17.68,LiC103·3H20
,7.9,36.56,63.44,25.70,19.20,""""
,7.4,35.12,6lf.88,26.91,20.lf4,""""
,6.8,33.89,66.11,27.99,21.58,""""
,6.0,32.82,67.18,28.97,22.64,""""
,4.5,31.61,68.39,30.13,23.94,""""
,4.0,30.56,69.44,31.17,25.14,""""
,3.4,30.26,69.74,31.48,25.50,""""
,0.9,28.82,71.18,32.99,27.32,""""
,0.0,28.11,71.89,33.76,28.29,""""
-,1.6,27.2,72.80,34.79,29.61,""""
-,1.8,27.61,72.39,34.32,29.07,""""
-,3.6,26.26,73.74,35.88,31.07,""""
-,5.8,25.37,74.63,36.96,32.54,""""
-,7.3,25.03,74.97,37.38,33. Il.,""""
-,7.8,24.55,75.45,37.99,34.00,""""
-13.6,,22.75,77.25,40.36,37.57,""""
+,3.8,28.11,71. 89,33.76,28.29,LiC103·H20
,5.1,27.61,72.39,34.32,29.01,""""
,6.8,27.2,72.80,34.79,29.61,""""
,9.1,26.26,73.74,35.88,31.07,""""
,11. 2,25.37,74.63,36.96,32.54,""""
,12.0,25.03,74.97,37.38,33.14,""""
13.4,,24.55,75.45,37.99,34.00,""""
14.1,,23.41,76.59,39.47,36.19,""""
,14.6,23.79,76.21,38.97,35.44,""""
16.7,,22.75,77.25,40.36,37.57,""""
18.9,,21.46,78.54,42.18,40.49,""""
'20.5,,19.73,80.27,44.78,45.01,""""
-,3.2,23.41,76.59,39.47,36.19,y-LiC103
+,2.9,22.41,77.59,40.83,3'3.30,""""
,8.4,21.67,78.33,41.87,39.99,""""
,12.8,20.74,79.26,43.24,"l,2.28",""""
16.4,,20.32,79.68,43.87,43.38,""""
,22.1,18.32,81. 68,47.05,49.32,""""
,27.2,17.33,82.67,48.74,52.77,""""
,27.6,18.33,81.67,47.03,49.29,""""
,32.0,17.2,82.80,48.96,53.26,""""
,32.0,16.09,83.91,50.97,57.69,""""
,32.8,16.42,83.58,50.36,56.31,""""
,36.2,15.48,84.52,52.11,60.40,""""
,36.8,14.64,85.36,53.75,64.50,""""
,39.6,13.73,86.27,55.60,69.51,""""
43.9,,12.83,87.17,57.52,75.16,""""
,36.9,13.73,86.27,55.60,69.51,B-LiC103
48.1,,13.67,86.33,55.73,69.87,""""
48.3,,12.83,87.17,57.52,75.16,"""'"
49.8,,12.51,87.49,58.23,77 .37,""""
61.6,,11.81,88.19,59.81,82.61,""""
,67.2,10.57,89.43,62.77,93.60,""""
,71.3,9.72,90.28,64.93,102.8,""""
,72.6,9.98,90.02,64.26,99.79,""""
,78.9,8.61,91. 39,67.90,117.4,""""
85.8,,7.46,92.54,71. 20,137.2,""""
