0,1,2,3,4,5,6,7,8,9,10
,,,,Pharm. J.,Trans.,(3],"1883,",,"14,",505.0
0;,[7732-18-5],,,,,,,,,
,,,,PREPARED BY·,,,,,,
-,372,,,,I. Lambert,,,,,
ES:,,,,,,,,,,
he,solubility of Ca(OH)2,,,in water,from 0,to 99°C,,,,
,Calcium Oxide,,,Calcium,Hydroxide,,,,,
102rC,CaO/g (100,g H 2,0)-1,m1/mol,kg-,1,,,,
-,,,,,,,,,,
0,0.131,,,,2.34,,,,,
5,0.130,,,,2.32,,,,,
10,0.129,,,,2.30,,,,,
15,0.128,,,,2.29,,,,,
20,0.126,,,,2.25,,,,,
25,0.120,,,,2.14,,,,,
30,0.116,,,,2.07,,,,,
35,0.109,,,,1.95,,,,,
40,0.107,,,,1.91,,,,,
45,0.101,,,,1.80,,,,,
50,0.098,,,,1. 75,,,,,
55,0.090,,,,1. 61,,,,,
60,0.088,,,,1.57,,,,,
65,0.082,,,,1.46,,,,,
70,0.080,,,,1. 43,,,,,
75,0.076,,,,1.36,,,,,
80,0.073,,,,1.30,,,,,
85,0.072,,,,1.29,,,,,
90,0.063,,,,1.13,,,,,
95,0.060,,,,1. 07,,,,,
