0,1,2,3,4,5,6,7
t/oC,mass,%,mol kg- l,,Hethod,Nature,of the
,,,(compiler),,,solid,ohasea
14.0,77 .5,,38.1,,Solubility,C,
15.0,78.0,,39.2,,"""","""",
16.0,78.5,,40.4,,"""","""",
18.0,79.3,,42.4,,"""","""",
20.5,81. 9,,50.1,,"""",C+D,
21.5,82.0,,50.4,,Solubility,D,
25.0,82.6,,52.5,,"""","""",
30.2,83.4,,55.6,,"""","""",
32.6,83.6,,56.4,,"""","""",
38.5,85.2,,63.7,,"""","""",
-10.5,78.7,,40.9,,Thermal Analysis,B+D,
-25.0,82.7,,52.9,,"""",B+E,
44.2,86.7,,72.1,,Solubility,E,
47.9,87.2,,75.4,,"""","""",
54.0,87.8,,79.6,,"""","""",
63.2,89.5,,94.3,,"""","""",
72.8,91.0,,112,,"""","""",
81. 7,92.4,,135,,"""","""",
86.2,93.7,,165,,"""","""",
90.7,93.8,,167,,"""","""",
94.2,94.8,,202,,"""","""",
97.5,95.5,,235,,"""","""",
98.9,95.9,,259,,"""","""",
127.5,100.0,,co,,Thermal Analysis,F,
