0,1,2,3,4,5
-,1.05,10.3,1.51,0.852,Ice
-,4.8,20.3,3.29,1.89,""""
-,9.8,30.6,5.56,3.27,""""
-,20.2,40.0,8.18,4.94,""""
-,40.0,52.0,12.6,8.03,""""
-,45.0,54.9,14.0,9.03,LiBrO~.H20
-,40.0,55.4,14.2,9.21,
-,36.7,56.2,14.6,9.52,""""
-,31. 5,56.8,14.9,9.75,""""
-,26.5,57.3,15.2,9.95,""""
-,21.0,58.2,15.7,10.3,""""
-,16.5,58.5,15.8,10.5,""""
-,10.8,59.4,16.4,10.9,""""
-,6.8,60.2,16.8,11. 2,""""
,0,61.23,17.42,11. 71,LiBr03·H20
,20.1,64.51,19.54,13.48,""""
,24.9,65.54,20.26,14.10,""""
,35.9,67.78,21. 94,15.60,""""
,45.0,70.4,24.1,17.6,""""
,50.0,71.8,25.4,18.9,""""
,4,66.8,21.2,14.9,LiBrO~ (m)
,17.5,68.2,22.3,15.9,
,45,71.8,25.4,18.9,""""
