0,1,2,3,4,5,6,7,8,9
no .,b mass% mol% a,,mass%,mol%a,a mass% mol%a,mol%,,phase,
1,"15.0766,72",,7.52,33.28,---- ----,2767.3,,A + B,
2,14.0354.40,,"6,92","26,81","2,85 18.79",2325.8,,,
3,"13.5448,19",,"6,90",24.54,"4.5627,27",2104.8,,,
4,"13.394 5,12",,6.86,23.16,"5,6531.72",1969.9,,,
5,"12,3236,13",,"6,83","19,99","8.95  43,88","1662,5",,,
6,"12.3532,48",,6.63,17.44,"11.5250,08",1234.5,,,
7,12.0228.47,,"6,49",15.29,"14.2956,24",1248.9,,,
8,10.96 23.49,,6.07,13.07,17.6763.44,1106.7,,A + +,C
9,10.0620.67,,6.04,10.91,20.5068.42,1027.3,,,
10,8.8416.53,,5.50,10.26,23.46  73.21,901.9,,11 C,
11,6.5312.05,,4.55,8.41,27.527 9.54,"905,1",,I I,
12,5.25 ' 8.95,,4.10,6.97,29.6584.08,817.2,,I I,
13,4.997.96,,3.76,6.01,32.35  86.03,742.0,,A + C +,D
14,14.9428.67,,----,----,22.247 1.33,952.6,,B + C,
15,13.9827.45,,1.25,2.45,21.39  70.10,980.5,,I I,
16,"13,9927,57",,"2,72",5.36,20.3767.07,950.4,,I I,
17,"11.8124,9",,4.00,8.16,"19.8867,75","1035,0",,I I,
18,11.2823.8,,5.43,11.46,18.3764.74,1080.5,,I I,
19,11.2223.87,,"5,65",12.03,"18.0964,10","1093,0",,I I,
2021,"10,995.0223,616.42",,6--.0-4-,12.97 -----,"17,6743.75 93,5863.42","1106,7517.5",,A + C  B + + D,C
22,5.017.12,,"1,83",2.60,37.969 0.28,"619,9",,I I,
23,"5,047.58",,3.06,4.59,34.9687.83,677.7,,I I,
